1.9,-0.5088,0.9907
1.91,-0.5072,0.9902
1.92,-0.5057,0.9898
1.93,-0.5042,0.9894
1.94,-0.5028,0.989
1.95,-0.5014,0.9886
1.96,-0.5001,0.9882
1.97,-0.4987,0.9878
1.98,-0.4975,0.9875
1.99,-0.4962,0.9871
2,-0.495,0.9868
2.01,-0.4938,0.9865
2.02,-0.4927,0.9862
2.03,-0.4915,0.986
2.04,-0.4904,0.9857
2.05,-0.4894,0.9855
2.06,-0.4883,0.9853
2.07,-0.4873,0.9851
2.08,-0.4863,0.9849
2.09,-0.4853,0.9848
2.1,-0.4843,0.9847
2.11,-0.4834,0.9846
2.12,-0.4824,0.9845
2.13,-0.4815,0.9844
2.14,-0.4806,0.9843
2.15,-0.4797,0.9843
2.16,-0.4788,0.9843
2.17,-0.478,0.9843
2.18,-0.4771,0.9843
2.19,-0.4762,0.9843
2.2,-0.4754,0.9844
2.21,-0.4745,0.9845
2.22,-0.4737,0.9846
2.23,-0.4729,0.9847
2.24,-0.472,0.9848
2.25,-0.4712,0.9849
2.26,-0.4703,0.9851
2.27,-0.4695,0.9853
2.28,-0.4686,0.9855
2.29,-0.4678,0.9857
2.3,-0.4669,0.986
2.31,-0.466,0.9862
2.32,-0.4651,0.9865
2.33,-0.4642,0.9868
2.34,-0.4633,0.9871
2.35,-0.4624,0.9875
2.36,-0.4615,0.9878
2.37,-0.4605,0.9882
2.38,-0.4595,0.9886
2.39,-0.4585,0.989
2.4,-0.4575,0.9894
2.41,-0.4564,0.9898
2.42,-0.4553,0.9902
2.43,-0.4542,0.9907
2.44,-0.4531,0.9912
2.45,-0.4519,0.9917
2.46,-0.4506,0.9922
2.47,-0.4494,0.9927
2.48,-0.4481,0.9932
2.49,-0.4467,0.9937
2.5,-0.4453,0.9942
2.51,-0.4438,0.9948
2.52,-0.4423,0.9953
2.53,-0.4408,0.9959
2.54,-0.4391,0.9964
2.55,-0.4374,0.9969
2.56,-0.4356,0.9975
2.57,-0.4338,0.998
2.58,-0.4318,0.9985
2.59,-0.4298,0.999
2.6,-0.4277,0.9995
2.61,-0.4255,0.9999
2.62,-0.4232,1.0004
2.63,-0.4208,1.0007
2.64,-0.4183,1.0011
2.65,-0.4156,1.0014
2.66,-0.4128,1.0017
2.67,-0.4099,1.0018
2.68,-0.4069,1.002
2.69,-0.4037,1.002
2.7,-0.4003,1.002
2.71,-0.3968,1.0018
2.72,-0.393,1.0016
2.73,-0.3891,1.0012
2.74,-0.385,1.0007
2.75,-0.3806,1
2.76,-0.3761,0.9992
2.77,-0.3712,0.9981
2.78,-0.3662,0.9969
2.79,-0.3609,0.9955
2.8,-0.3552,0.9937
2.81,-0.3493,0.9917
2.82,-0.343,0.9894
2.83,-0.3364,0.9868
2.84,-0.3295,0.9838
2.85,-0.3296,0.9841
2.86,-0.3303,0.9853
2.87,-0.3314,0.9872
2.88,-0.3329,0.9897
2.89,-0.3347,0.993
2.9,-0.337,0.9969
2.91,-0.3396,1.0014
2.92,-0.3426,1.0065
2.93,-0.3459,1.0122
2.94,-0.3495,1.0183
2.95,-0.3535,1.025
2.96,-0.3577,1.0322
2.97,-0.3622,1.0398
2.98,-0.3669,1.0478
2.99,-0.372,1.0562
3,-0.3772,1.0649
3.01,-0.3826,1.0739
3.02,-0.3883,1.0832
3.03,-0.3942,1.0928
3.04,-0.4002,1.1026
3.05,-0.4064,1.1126
3.06,-0.4128,1.1228
3.07,-0.4193,1.1332
3.08,-0.4259,1.1437
3.09,-0.4327,1.1543
3.1,-0.4396,1.165
3.11,-0.4465,1.1757
3.12,-0.4536,1.1865
3.13,-0.4607,1.1973
3.14,-0.4679,1.2082
3.15,-0.4752,1.219
3.16,-0.4825,1.2297
3.17,-0.4899,1.2405
3.18,-0.4973,1.2511
3.19,-0.5047,1.2617
3.2,-0.5122,1.2721
3.21,-0.5196,1.2825
3.22,-0.5271,1.2927
3.23,-0.5345,1.3027
3.24,-0.542,1.3126
3.25,-0.5494,1.3223
3.26,-0.5568,1.3318
3.27,-0.5642,1.3411
3.28,-0.5715,1.3502
3.29,-0.5787,1.359
3.3,-0.5859,1.3676
3.31,-0.5931,1.3759
3.32,-0.6001,1.3839
3.33,-0.6071,1.3916
3.34,-0.614,1.399
3.35,-0.6208,1.4061
3.36,-0.6275,1.4129
3.37,-0.6341,1.4193
3.38,-0.6405,1.4254
3.39,-0.6468,1.431
3.4,-0.653,1.4363
3.41,-0.6591,1.4413
3.42,-0.6649,1.4457
3.43,-0.6706,1.4497
3.44,-0.6761,1.4534
3.45,-0.6815,1.4566
3.46,-0.6866,1.4593
3.47,-0.6915,1.4615
3.48,-0.6962,1.4632
3.49,-0.7007,1.4644
3.5,-0.705,1.4651
3.51,-0.7089,1.4652
3.52,-0.7126,1.4648
3.53,-0.7161,1.4639
3.54,-0.7193,1.4625
3.55,-0.7222,1.4605
3.56,-0.7249,1.458
3.57,-0.7274,1.4551
3.58,-0.7296,1.4517
3.59,-0.7316,1.448
3.6,-0.7332,1.4437
3.61,-0.7348,1.4391
3.62,-0.7361,1.4341
3.63,-0.7371,1.4286
3.64,-0.7379,1.4228
3.65,-0.7385,1.4166
3.66,-0.7388,1.41
3.67,-0.739,1.4031
3.68,-0.7389,1.3958
